date;debit_fin_de_journee;source;pits
2010-11-01;23.25978461;Storengy;Saline
2010-11-15;26.86812096;Storengy;Saline
2010-11-16;25.71453341;Storengy;Saline
2010-11-19;28.70457736;Storengy;Saline
2010-11-27;-2.298937738;Storengy;Saline
2010-11-28;-11.03688849;Storengy;Saline
2010-12-01;-117.2168094;Storengy;Saline
2010-12-02;-127.9296154;Storengy;Saline
2010-12-04;-136.6750596;Storengy;Saline
2010-12-26;-39.81624979;Storengy;Saline
2010-12-29;-58.91089011;Storengy;Saline
2011-01-06;-15.24125249;Storengy;Saline
2011-01-09;2.496130108;Storengy;Saline
2011-01-16;1.448150427;Storengy;Saline
2011-01-19;-8.590962578;Storengy;Saline
2011-01-30;-99.02238454;Storengy;Saline
2011-02-04;-19.1687094;Storengy;Saline
2011-02-10;-2.144249591;Storengy;Saline
2011-02-11;-4.206812348;Storengy;Saline
2011-02-18;-10.44249508;Storengy;Saline
2011-02-20;-12.67100819;Storengy;Saline
2011-02-22;-26.27259059;Storengy;Saline
2011-02-23;-30.82534205;Storengy;Saline
2011-03-04;-11.17869824;Storengy;Saline
2011-03-11;-7.347997249;Storengy;Saline
2011-03-12;-3.434741168;Storengy;Saline
2011-03-13;-3.434741168;Storengy;Saline
2011-03-15;33.34131762;Storengy;Saline
2011-03-17;33.31867791;Storengy;Saline
2011-03-21;18.71425488;Storengy;Saline
2011-03-29;8.388485503;Storengy;Saline
2011-04-05;56.89216704;Storengy;Saline
2011-04-07;41.27669109;Storengy;Saline
2011-04-10;58.44466206;Storengy;Saline
2011-04-12;57.39384402;Storengy;Saline
2011-04-13;44.6467425;Storengy;Saline
2011-04-15;55.04662207;Storengy;Saline
2011-04-19;26.16236274;Storengy;Saline
2011-04-21;31.14639061;Storengy;Saline
2011-04-22;51.1281655;Storengy;Saline
2011-05-05;14.62472367;Storengy;Saline
2011-05-11;30.93411212;Storengy;Saline
2011-05-12;40.95343881;Storengy;Saline
2011-05-13;41.79499418;Storengy;Saline
2011-05-18;41.22173959;Storengy;Saline
2011-05-19;46.33151655;Storengy;Saline
2011-05-22;6.562133302;Storengy;Saline
2011-05-27;6.559956657;Storengy;Saline
2011-06-01;43.66791916;Storengy;Saline
2011-06-05;41.64068502;Storengy;Saline
2011-06-09;11.82534116;Storengy;Saline
2011-06-12;39.7076271;Storengy;Saline
2011-06-14;11.47435095;Storengy;Saline
2011-06-16;0.666243742;Storengy;Saline
2011-06-26;1.595554684;Storengy;Saline
